epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,43575.1,2.18486,4.66723,2.88382,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,44190.1,2.18272,4.66581,2.88335,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,44807.8,2.18574,4.66793,2.88431,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,45422.2,2.18486,4.66731,2.88322,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,46038.1,2.18621,4.66561,2.88266,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,46653,2.18537,4.66633,2.88245,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,47269,2.1846,4.66789,2.88265,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,47887.8,2.18526,4.6701,2.88312,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,48503.8,2.18352,4.66868,2.88298,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,49117.9,2.18435,4.66706,2.88347,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
81,49733.2,2.18309,4.66799,2.88292,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
82,50350.2,2.18237,4.66594,2.88257,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
83,50965.9,2.18478,4.66579,2.88294,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
84,51580.5,2.18454,4.66689,2.88272,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
85,52196.2,2.18312,4.66728,2.88197,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
86,52809.8,2.18334,4.66807,2.88219,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
87,53428.3,2.18549,4.66516,2.88021,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
88,54045.1,2.18418,4.66521,2.88141,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
89,54658.6,2.18579,4.66473,2.88116,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
90,55275.5,2.18361,4.66574,2.88214,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
91,56032.8,2.2798,4.7597,2.96268,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
92,56631.7,2.28074,4.70144,2.95801,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
93,57231.4,2.2866,4.69528,2.95626,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
94,57828.5,2.28373,4.68876,2.95755,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
95,58428.5,2.2845,4.68483,2.95855,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
96,59029.6,2.28576,4.68475,2.95671,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
97,59626.8,2.28612,4.68448,2.95612,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
98,60226.1,2.28446,4.68153,2.95865,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
99,60827.4,2.28494,4.6819,2.9571,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
100,61449.8,2.28555,4.6821,2.95635,0,0,0,0,2.36137,4.51634,3.0088,0.000199,0.000199,0.000199
